k,Silhouette Score,Adjusted Rand Index,Inertia
2,0.36434281358049675,-0.0023150244750139953,301597.77888704074
3,0.31474693557123845,-0.00046098725925809134,263414.6222384013
4,0.22122892843754582,0.01084457173819449,230924.5946720159
5,0.21815807561775893,0.010726599279650178,214634.19585366687
